ID,Objekt,Etage,Verortung,Parkplatz,Parkplatz,Position,Farbe,Symbole,Typografie,Inhalt,Elektrisch,Beschädigt,Foto,Notizen
1,Absperrung,1,,,,floor,red,false,false,"",false,false,http://parkhaus.digitalisat.com/media/pages/objects/1/d9a9390295-1706715134/bildschirmfoto-2024-01-31-um-16.32.04.png,""
2,Alarm,1,,,,wall,black,false,true,"NOTRUF AUFZUG",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/86c53254e9-1706714366/img_7246.jpg,""
3,Aschenbecher,1,,,,column,silver,false,false,"",false,true,http://parkhaus.digitalisat.com/media/pages/objects/1/de56852ab0-1706714641/img_7250.jpg,""
4,Aufzug,1,,,,wall,silver,true,true,"5",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/9ae6c021fc-1706697666/img_7244.jpg,""
5,Beleuchtung,1,,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/e6479ca951-1706715439/bildschirmfoto-2024-01-31-um-16.37.09.png,""
6,Beleuchtung,1,,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/e561c5b2dd-1706715417/bildschirmfoto-2024-01-31-um-16.36.44.png,""
7,Beleuchtung,1,,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/6d1ae31ff6-1706715220/bildschirmfoto-2024-01-31-um-16.33.29.png,""
8,Beleuchtung,1,,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/f9780efb6d-1706715185/bildschirmfoto-2024-01-31-um-16.32.55.png,""
9,Beleuchtung,1,,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/3f4af072b1-1706715011/bildschirmfoto-2024-01-31-um-16.29.59.png,""
10,Beleuchtung,1,,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/dc5255a1a2-1706714979/bildschirmfoto-2024-01-31-um-16.29.27.png,""
11,Beleuchtung,1,,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/a0e4ed448b-1706714920/img_7280.jpg,""
12,Beleuchtung,1,,,,wall,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/1b73a3f68c-1706714000/img_7243.jpg,""
13,Kamera,1,,,,wall,black,false,false,"",true,false,,""
14,Mülleimer,1,,,,floor,grey,false,false,"",false,false,http://parkhaus.digitalisat.com/media/pages/objects/1/7becf2a96b-1706697727/img_7251.jpg,""
15,Schranke,1,,,,floor,yellow,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/b1c900c146-1706715082/bildschirmfoto-2024-01-31-um-16.31.09.png,""
16,Schranke,1,,,,floor,yellow,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/6281dc40c2-1706714871/img_7271.jpg,""
17,Streugut Container,1,,,,floor,orange,false,true,"STREUGUT",false,false,http://parkhaus.digitalisat.com/media/pages/objects/1/2444a63d36-1706697807/img_7262.jpg,""
18,Telefon,1,,,,wall,black,true,true,"Bei Störungen",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/1a8512e8cc-1706697879/img_7259.jpg,""
19,Ticketautomat,1,,,,floor,yellow,true,true,"KASSENAUTOMAT",true,false,http://parkhaus.digitalisat.com/media/pages/objects/1/c167da7d6b-1706714778/img_7253.jpg,""
20,Alarm,2,Gegenüber von,,,wall,red,true,true,"5002/01",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/6210aebb69-1706376647/img_1019-3.jpg,""
21,Alarm,2,Gegenüber von,,,wall,red,true,true,"5002/02",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/8539dc14cd-1706377124/img_1047-3.jpg,""
22,Alarm,2,Gegenüber von,,,wall,green,false,false,"",true,true,http://parkhaus.digitalisat.com/media/pages/objects/2/4251b29c7c-1706377292/img_1051-3.jpg,""
23,Beleuchtung,2,Vor,,,ceiling,,false,false,"",true,false,,""
24,Beleuchtung,2,Vor,,,ceiling,,false,false,"",true,false,,""
25,Beleuchtung,2,Vor,,,ceiling,,false,false,"",true,false,,""
26,Beleuchtung,2,Vor,,,ceiling,,false,false,"",true,false,,""
27,Beleuchtung,2,Vor,,,ceiling,,false,false,"",true,false,,""
28,Beleuchtung,2,Vor,,,ceiling,,false,false,"",true,false,,""
29,Beleuchtung,2,Vor,,,ceiling,,false,false,"",true,false,,""
30,Beleuchtung,2,Vor,,,ceiling,,false,false,"",true,false,,""
31,Beleuchtung,2,Vor,,,ceiling,,false,false,"",true,false,,""
32,Beleuchtung,2,Vor,,,ceiling,,false,false,"",true,false,,""
33,Bewegungsmelder,2,Gegenüber von,,,wall,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/f3b7c2c7d2-1707504623/2024-02-09-19.50.12.png,""
34,Bewegungsmelder,2,Neben,,,column,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/1c73a9ac07-1707504362/2024-02-09-19.45.51.png,""
35,Bewegungsmelder,2,Gegenüber von,,,column,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/3ae2b75843-1707504325/2024-02-09-19.45.14.png,""
36,Fahrräder,2,Auf,,,floor,,false,false,"",false,false,,""
37,Fahrräder,2,Auf,,,floor,,false,false,"",false,false,,""
38,Fahrräder,2,Auf,,,floor,,false,false,"",false,false,,""
39,Fahrräder,2,Auf,,,floor,,false,false,"",false,false,,""
40,Fahrräder,2,Auf,,,floor,,false,false,"",false,false,,""
41,Fahrräder,2,Auf,,,floor,,false,false,"",false,false,,""
42,Fahrräder,2,Auf,,,floor,,false,false,"",false,false,,""
43,Fahrräder,2,Auf,,,floor,,false,false,"",false,false,,""
44,Fahrräder,2,Auf,,,floor,,false,false,"",false,false,,""
45,Feuerlöscher,2,Gegenüber von,,,wall,red,true,true,"TOTAL FEURLÖSCHER",false,false,http://parkhaus.digitalisat.com/media/pages/objects/2/e93daec7c1-1706377160/img_1048-3.jpg,""
46,Feuerlöscher,2,Gegenüber von,,,column,red,true,true,"TOTAL FEURLÖSCHER",false,false,http://parkhaus.digitalisat.com/media/pages/objects/2/18979f9765-1706376317/img_1016-3.jpg,""
47,Kamera,2,Zwischen,,12,wall,white,false,false,"",true,true,http://parkhaus.digitalisat.com/media/pages/objects/2/3fcfbc89b9-1707580070/img_1379.jpg,""
48,Kamera,2,Auf,,,ceiling,white,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/116897bb9a-1706377553/2024-01-27-18.45.47.png,""
49,Leuchtkasten,2,Zwischen,,12,wall,white,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/3fcfbc89b9-1707580070/img_1379.jpg,""
50,Mülleimer,2,Gegenüber von,,,column,orange,true,false,"",false,true,http://parkhaus.digitalisat.com/media/pages/objects/2/72ab4f7631-1706376347/img_1018-3.jpg,""
51,Reinigungsgerät,2,Auf,,,floor,red,false,true,"Huka",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/e1f0b44ddd-1706377505/img_1060-3.jpg,""
52,Steckdose,2,Vor,,,ceiling,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/14a7b4261b-1707504745/2024-02-09-19.52.15.png,""
53,Steckdose,2,Vor,,,ceiling,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/4ecf631060-1707504711/2024-02-09-19.51.40.png,""
54,Steckdose,2,Gegenüber von,,,wall,grey,true,true,"Defekt",true,true,http://parkhaus.digitalisat.com/media/pages/objects/2/faf3ab6d40-1707504670/2024-02-09-19.50.59.png,""
55,Steckdose,2,Vor,,,ceiling,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/bec20e1f28-1707504578/2024-02-09-19.49.27.png,""
56,Steckdose,2,Vor,,,ceiling,grey,true,true,"TEP",true,true,,""
57,Steckdose,2,Vor,,,ceiling,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/7959e22aaa-1707504442/2024-02-09-19.47.10.png,""
58,Steckdose,2,Gegenüber von,,,wall,grey,true,true,"TEP",true,true,http://parkhaus.digitalisat.com/media/pages/objects/2/9fdbc3605f-1707504412/2024-02-09-19.46.43.png,""
59,Telefon,2,Gegenüber von,,,wall,grey,false,true,"1234567890",true,true,http://parkhaus.digitalisat.com/media/pages/objects/2/a1c8fdc337-1706377219/img_1050-3.jpg,""
60,Telefon,2,Gegenüber von,,,wall,grey,false,true,"1234567890",true,false,http://parkhaus.digitalisat.com/media/pages/objects/2/6210aebb69-1706376647/img_1019-3.jpg,""
61,Alarm,3,Gegenüber von,,,wall,red,true,true,"5003/02",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/f43ea76550-1706381578/img_1104-3.jpg,""
62,Alarm,3,Gegenüber von,,,wall,red,true,true,"5003/01",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/56cb4756f3-1706381935/img_1111-3.jpg,""
63,Aufzug,3,Gegenüber von,,,wall,silver,true,true,"OTIS",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/9e2377a82b-1707504014/2024-02-09-19.40.03.png,""
64,Beleuchtung,3,Vor,,,ceiling,,false,false,"",true,false,,""
65,Beleuchtung,3,Vor,,,ceiling,,false,false,"",true,false,,""
66,Beleuchtung,3,Vor,,,ceiling,,false,false,"",true,false,,""
67,Beleuchtung,3,Vor,,,ceiling,,false,false,"",true,false,,""
68,Beleuchtung,3,Vor,,,ceiling,,false,false,"",true,false,,""
69,Beleuchtung,3,Vor,,,ceiling,,false,false,"",true,false,,""
70,Beleuchtung,3,Vor,,,ceiling,,false,false,"",true,false,,""
71,Beleuchtung,3,Vor,,,ceiling,,false,false,"",true,false,,""
72,Beleuchtung,3,Gegenüber von,,,wall,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/44ca0c6377-1706382313/2024-01-27-20.05.07.png,""
73,Belüftung,3,Auf,,,wall,white,false,true,"SANYO",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/1f5d3d2231-1706895641/img_1107.jpg,""
74,Belüftung,3,Gegenüber von,,,floor,white,false,true,"TOSHIBA",true,false,,""
75,Bewegungsmelder,3,Vor,,,ceiling,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/09ef33dae4-1707504050/2024-02-09-19.40.40.png,""
76,Bewegungsmelder,3,Auf,,,wall,grey,true,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/3f710788c7-1707503859/2024-02-09-19.37.29.png,""
77,Bewegungsmelder,3,Vor,,,ceiling,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/78ed4feabb-1707503814/2024-02-09-19.36.44.png,""
78,Feuerlöscher,3,Gegenüber von,,,column,red,true,true,"TOTAL FEURLÖSCHER",false,false,http://parkhaus.digitalisat.com/media/pages/objects/3/2f2b53d814-1706382153/img_1113-3.jpg,""
79,Feuerlöscher,3,Gegenüber von,,,wall,red,true,true,"TOTAL FEURLÖSCHER",false,false,http://parkhaus.digitalisat.com/media/pages/objects/3/45b27d586c-1706381539/img_1103-3.jpg,""
80,Mülleimer,3,Gegenüber von,,,column,orange,true,false,"",false,false,http://parkhaus.digitalisat.com/media/pages/objects/3/05f6d2d88d-1706382111/img_1112-3.jpg,""
81,Mülleimer,3,Gegenüber von,,,floor,grey,false,false,"",false,true,http://parkhaus.digitalisat.com/media/pages/objects/3/29fca9f819-1706381716/img_1109-3.jpg,""
82,Steckdose,3,Vor,,,ceiling,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/fe473f0a68-1707503922/2024-02-09-19.38.32.png,""
83,Steckdose,3,Vor,,,ceiling,grey,true,true,"TEP",true,true,http://parkhaus.digitalisat.com/media/pages/objects/3/67b8a3cdf4-1707503757/2024-02-09-19.35.45.png,""
84,Steckdose,3,Vor,,,ceiling,grey,true,true,"TEP",true,true,http://parkhaus.digitalisat.com/media/pages/objects/3/75c4f003b9-1707503660/2024-02-09-19.34.08.png,""
85,Steckdose,3,Gegenüber von,,,wall,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/b7197f0e45-1706895557/img_1116.jpeg,""
86,Steckdose,3,Gegenüber von,,,wall,grey,false,false,"",true,true,http://parkhaus.digitalisat.com/media/pages/objects/3/be13359625-1706382232/2024-01-27-20.03.35.png,""
87,Telefon,3,Gegenüber von,,,wall,grey,false,true,"1234567890",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/68d002b4dd-1706381750/img_1110-3.jpg,""
88,Telefon,3,Auf,,,wall,grey,false,true,"1234567890",true,false,http://parkhaus.digitalisat.com/media/pages/objects/3/6d2b00790f-1706381675/img_1108-3.jpg,""
89,Alarm,4,Gegenüber von,,,wall,red,true,true,"",true,false,,""
90,Alarm,4,Gegenüber von,,,wall,red,true,true,"",true,false,,""
91,Beleuchtung,4,Gegenüber von,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/4/8c12b9ee03-1707500701/2024-02-09-18.44.48.png,""
92,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
93,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
94,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
95,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
96,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
97,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
98,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
99,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
100,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
101,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
