ID,Etage,Verortung,Parkplatz,Parkplatz,Position,Reflektiert,Symbole,Typografie,Inhalt,Farbe,Zweck,Richtung,Beleuchtet,Beschädigt,Beidseitig,Für wen,Foto,Notizen
1,1,,,,door,false,false,true,"Eingang Parkhaus",black,note,,false,true,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/1/bf7ed1cdc1-1706627338/img_7241.jpg,""
2,1,,,,wall,true,false,true,"Parkhausordnung",white,note,,false,true,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/1/500019272c-1706627462/img_7242.jpg,""
3,1,,,,wall,false,false,true,"Vor Abholung des Pkw Parkgebühren bezahlen",yellow,note,,false,true,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/1/0359c69c58-1706627525/img_7245.jpg,""
4,1,,,,wall,false,false,true,"Hausflur freihalten!",white,note,,false,true,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/1/8fdda0b44c-1706627588/img_7248.jpg,""
5,1,,,,door,false,false,false,"",black,orientation,right,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/1/7cd4165ad6-1706627621/img_7252.jpg,""
6,1,,,,column,false,true,true,"VORSICHT Rutschgefahr",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/5aa7dcf4c0-1706627925/img_7255.jpg,""
7,1,,,,wall,false,false,true,"1,95m",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/5aa7dcf4c0-1706627925/img_7255.jpg,""
8,1,,,,wall,false,true,true,"Hoffschild Reitsport - Center",green,note,,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/1/57a272f0d1-1706632902/img_7256.jpg,""
9,1,,,,wall,false,true,true,"ACHTUNG",red,note,,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/57a272f0d1-1706632902/img_7256.jpg,""
10,1,,,,wall,true,false,true,"Bei technischen Störungen oder Probleme mit der Parkkarte.",red,orientation,left,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/1/acfa07dfcf-1706633002/img_7258.jpg,""
11,1,,,,wall,false,false,true,"VOR ABHOLUNG DES PKW PARKGEBÜHREN BEZAHLEN",red,note,,false,true,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/1/17289a12d6-1706633051/img_7260.jpg,""
12,1,,,,column,false,false,false,"",blue,orientation,left,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/b0e2dd5639-1706633101/img_7263.jpg,""
13,1,,,,column,false,false,true,"1,95m",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/9e6a40825f-1706633332/img_7265.jpg,""
14,1,,,,column,false,true,true,"P Deck 3",blue,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/9e6a40825f-1706633332/img_7265.jpg,""
15,1,,,,floor,false,true,true,"Werben Sie mit uns!",blue,note,,true,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/6a03247b75-1706633557/img_7267.jpg,""
16,1,,,,floor,false,false,true,"An alle DauerParkKunden",white,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/7016c5d3ce-1706633654/img_7269.jpg,""
